"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;3;1;false;662;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;7;1;13;1;false;582;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;5;1;8;1;false;558;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;14;6;1;13;1;false;633;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;15;1;false;711;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;0;1;4;1;false;1098;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;10;2;1;12;1;false;1670;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;3;1;3;1;false;3302;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;7;1;16;1;false;1293;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;10;2;1;10;1;false;2631;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;12;4;1;8;1;false;575;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;3;1;10;1;false;735;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;12;4;1;11;1;false;633;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;15;7;1;5;1;false;678;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;13;5;1;6;1;false;623;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;1;1;15;1;false;825;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;7;1;1;1;true;692;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;11;3;1;14;1;false;735;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;3;1;4;1;false;662;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;6;1;10;1;false;655;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;5;1;7;1;false;938;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;1;1;15;1;false;2363;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;5;1;15;1;false;1098;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;1;1;15;1;false;754;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;1;1;14;1;false;771;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;15;7;1;3;1;false;1111;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;5;1;10;1;false;802;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;11;3;1;12;1;false;907;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;13;5;1;11;1;false;708;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;7;1;3;1;false;607;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;3;1;false;1299;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;5;1;3;1;false;800;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;3;1;12;1;false;616;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;15;7;1;2;1;false;615;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;16;1;false;1477;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;11;3;1;11;1;false;1280;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;10;2;1;9;1;false;602;
