"Age";"Status";"Studies";"YearsOfExperience";version;direction;number_guards;position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;1;1;0;0;true;1115;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;1;1;1;5;4;false;765;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;2;1;8;8;true;1015;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;1;1;5;5;true;882;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;1;1;4;4;true;661;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;2;1;5;5;true;1123;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;2;2;1;1;1;true;923;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;1;1;0;0;true;904;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;3;1;2;2;true;1511;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;2;1;4;4;true;1142;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;3;1;5;5;true;1256;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;2;1;2;2;true;1040;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;3;1;7;7;true;1281;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;2;1;6;6;true;2061;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;2;1;4;4;true;773;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;1;1;2;2;true;1019;
