"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Schmutz;Schmutz_Group;Schmutz_Above;Schmutz_Below;Marked_Word_Length;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;1_none;0;0;4;1;5;1;false;357;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;1_none;0;0;7;1;10;1;false;393;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;1_none;0;0;6;1;7;1;false;383;
"undefined";"undefined";"undefined";"undefined";8;2;3;4;2_0-5;2;2;7;1;7;1;false;395;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;1_none;0;0;4;1;6;1;false;353;
"undefined";"undefined";"undefined";"undefined";8;2;3;3;2_0-5;2;1;6;1;4;1;false;681;
"undefined";"undefined";"undefined";"undefined";10;6;1;1;2_0-5;1;0;4;1;10;1;false;421;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;1_none;0;0;6;1;1;1;true;780;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;1_none;0;0;4;1;3;1;false;356;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;1_none;0;0;7;1;8;1;false;307;
"undefined";"undefined";"undefined";"undefined";6;8;3;11;4_10-15;5;6;9;1;3;1;false;372;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;1_none;0;0;9;1;6;1;false;329;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;1_none;0;0;5;1;2;1;false;326;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;1_none;0;0;5;1;10;1;false;333;
"undefined";"undefined";"undefined";"undefined";6;5;0;4;2_0-5;1;3;6;1;4;1;false;529;
"undefined";"undefined";"undefined";"undefined";6;3;2;10;3_5-10;5;5;8;1;2;1;false;654;
"undefined";"undefined";"undefined";"undefined";6;9;4;2;2_0-5;2;0;4;1;4;1;false;416;
"undefined";"undefined";"undefined";"undefined";8;9;4;0;1_none;0;0;5;1;5;1;false;348;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;2_0-5;1;0;4;1;4;1;false;433;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;1_none;0;0;5;1;3;1;false;376;
"undefined";"undefined";"undefined";"undefined";6;9;4;0;1_none;0;0;3;1;3;1;false;399;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;1_none;0;0;7;1;2;1;false;416;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;1_none;0;0;3;1;1;1;true;368;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;1_none;0;0;5;1;6;1;false;315;
"undefined";"undefined";"undefined";"undefined";10;8;3;0;1_none;0;0;4;1;8;1;false;378;
"undefined";"undefined";"undefined";"undefined";6;5;0;7;3_5-10;3;4;7;1;6;1;false;566;
"undefined";"undefined";"undefined";"undefined";6;4;1;2;2_0-5;0;2;5;1;8;1;false;441;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;1_none;0;0;3;1;6;1;false;394;
"undefined";"undefined";"undefined";"undefined";20;4;1;0;1_none;0;0;7;1;3;1;false;361;
"undefined";"undefined";"undefined";"undefined";10;8;3;1;2_0-5;0;1;8;1;6;1;false;392;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;1_none;0;0;4;1;2;1;false;363;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;1_none;0;0;8;1;9;1;false;363;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;1_none;0;0;5;1;2;1;false;374;
"undefined";"undefined";"undefined";"undefined";8;1;4;0;1_none;0;0;3;1;3;1;false;371;
"undefined";"undefined";"undefined";"undefined";10;7;2;2;2_0-5;0;2;9;1;1;1;true;366;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;1_none;0;0;3;1;10;1;false;363;
"undefined";"undefined";"undefined";"undefined";6;5;0;9;3_5-10;3;6;9;1;8;1;false;411;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;1_none;0;0;2;1;3;1;false;406;
"undefined";"undefined";"undefined";"undefined";10;2;3;0;1_none;0;0;3;1;5;1;false;371;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;1_none;0;0;2;1;10;1;false;370;
"undefined";"undefined";"undefined";"undefined";20;8;3;0;1_none;0;0;2;1;6;1;false;419;
"undefined";"undefined";"undefined";"undefined";10;4;1;0;1_none;0;0;4;1;5;1;false;417;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;2_0-5;1;0;3;1;6;1;false;390;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;1_none;0;0;3;1;4;1;false;406;
"undefined";"undefined";"undefined";"undefined";10;8;3;0;1_none;0;0;6;1;8;1;false;377;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;1_none;0;0;7;1;4;1;false;371;
"undefined";"undefined";"undefined";"undefined";14;2;3;0;1_none;0;0;11;1;10;1;false;423;
"undefined";"undefined";"undefined";"undefined";10;9;4;0;1_none;0;0;3;1;3;1;false;383;
"undefined";"undefined";"undefined";"undefined";8;9;4;0;1_none;0;0;6;1;1;1;true;344;
"undefined";"undefined";"undefined";"undefined";10;1;4;0;1_none;0;0;3;1;4;1;false;555;
"undefined";"undefined";"undefined";"undefined";10;6;1;0;1_none;0;0;5;1;10;1;false;393;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;1_none;0;0;5;1;9;1;false;433;
"undefined";"undefined";"undefined";"undefined";8;9;4;0;1_none;0;0;5;1;5;1;false;373;
"undefined";"undefined";"undefined";"undefined";14;8;3;2;2_0-5;0;2;13;1;4;1;false;375;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;1_none;0;0;5;1;4;1;false;429;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;1_none;0;0;5;1;9;1;false;453;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;2_0-5;0;1;6;1;8;1;false;461;
"undefined";"undefined";"undefined";"undefined";10;6;1;3;2_0-5;0;3;10;1;6;1;false;395;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;1_none;0;0;4;1;7;1;false;332;
